ID,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
889,  6 40 17.303362 ,  + 4 54 41.08027 , -    3.96 , +    0.53 ,     .8 ,  9.15  
890,  6 40 28.877238 ,  +77 59 44.81611 , +   14.26 , -    6.11 ,    5.6 ,  5.75  
891,  6 40 30.980349 ,  +37 15 39.71279 , -   18.17 , -   24.06 ,    5.7 ,  8.68  
892,  6 40 32.251078 ,  +71 44 55.62780 , +    3.85 , +   10.54 ,    4.9 ,  5.88  
893,  6 41  4.289686 ,  +53 23 54.53170 , -    0.66 , +    7.93 ,    5.6 ,  7.50  
894,  6 41 37.757969 ,  +35 55 54.93976 , -   16.39 , -   25.95 ,   12.7 ,  6.48  
895,  6 42 45.030057 ,  +32 33 31.91849 , -    6.62 , -    7.12 ,    2.3 ,  6.74  
896,  6 43  4.971656 ,  +44 31 28.02153 , -   44.79 , -   30.06 ,   10.6 ,  5.04  
897,  6 43  6.047890 ,  -29 14 14.38942 , -    1.88 , +    2.15 ,    4.8 ,  7.28  
898,  6 43 36.757579 ,  -73  7  5.54947 , +   12.33 , -   98.19 ,    7.7 ,  6.36  
899,  6 43 53.529759 ,  -25 32  5.82487 , -   46.84 , +    8.21 ,    8.0 ,  6.70  
900,  6 44 30.356975 ,  +82  6 55.19915 , +   13.63 , -   54.25 ,   14.4 ,  6.61  
901,  6 44 44.209885 ,  -61 13 27.22206 , -    8.45 , +    8.41 ,    3.3 ,  6.95  
902,  6 44 45.460539 ,  +28 58 15.35182 , -    6.28 , -   23.89 ,    5.7 ,  5.42  
903,  6 45  9.778700 ,  -82 53 45.03570 , -   32.03 , +    9.53 ,   12.4 ,  7.60  
904,  6 46 10.370862 ,  +23 22 16.40720 , -   10.47 , +   44.90 ,    3.1 ,  6.51  
905,  6 46 37.981765 ,  -58 39 25.27196 , +   14.44 , -   32.08 ,    3.5 ,  8.56  
906,  6 46 39.016102 ,  -10  6 26.49564 , -   11.77 , +    0.85 ,    6.0 ,  5.66  
907,  6 46 41.614829 ,  -36 35 46.28684 , +    7.51 , +    3.30 ,    3.8 ,  7.95  
908,  6 46 49.509491 ,  +57 10  9.03678 , +   13.95 , -   38.51 ,   15.6 ,  5.34  
909,  6 46 50.199014 ,  - 9  9 52.45436 , -    8.91 , +    4.15 ,    3.7 ,  8.36  
910,  6 47 18.708944 ,  -55 32 23.95863 , -    0.95 , +   24.96 ,    5.4 ,  5.60  
911,  6 48 27.396704 ,  -12 50 26.22466 , -    8.25 , -    2.53 ,    1.5 ,  7.03  
912,  6 49 28.639538 ,  - 0 12 34.76466 , -    1.82 , -    1.10 ,    3.8 ,  9.02  
913,  6 49 41.312469 ,  +32 36 24.32496 , -   37.59 , -   50.25 ,   10.6 ,  5.72  
914,  6 49 54.616593 ,  -46 36 52.41915 , -    0.51 , +  374.06 ,   39.6 ,  5.14  
915,  6 49 55.521142 ,  - 5 30 47.50339 , -    2.06 , +    1.93 ,     .9 ,  7.55  
916,  6 50  2.510843 ,  -66 17 36.29350 , -    8.67 , +   30.03 ,    3.1 ,  6.99  
917,  6 50  3.344673 ,  -42  8 43.37358 , -    5.90 , -    1.53 ,    5.0 ,  8.36  
918,  6 50  5.969612 ,  -27 20  2.28394 , -    1.27 , +    4.05 ,    1.2 ,  7.05  
919,  6 50 57.089509 ,  +67 34 18.96377 , +    0.90 , +    4.66 ,    3.7 ,  5.14  
920,  6 51  5.702609 ,  -34 16 35.77425 , -    3.51 , +   10.71 ,    1.8 ,  7.91  
921,  6 51  7.089451 ,  -47 19 33.77188 , -   12.19 , +   42.26 ,    5.6 ,  7.30  
922,  6 51 47.278469 ,  +86 41  3.63457 , +    0.10 , -  104.55 ,    7.5 ,  6.59  
923,  6 51 58.198517 ,  +25 39 46.80134 , -   12.54 , +    8.61 ,    7.1 ,  6.75  
924,  6 53 32.907191 ,  -20 13 27.31453 , -    5.41 , +    3.96 ,    1.3 ,  4.82  
925,  6 54 26.683510 ,  -42 21 56.05579 , -    1.49 , +   19.84 ,    2.3 ,  6.32  
926,  6 55 42.503528 ,  -80 50 16.74969 , +   38.33 , +   26.66 ,    4.6 ,  7.75  
927,  6 55 56.196345 ,  +27 17  9.10696 , -    7.17 , -    6.76 ,    2.3 ,  7.21  
928,  6 56  8.224644 ,  -17  3 15.26701 , -    2.76 , +    2.44 ,    1.0 ,  4.36  
929,  6 56 34.475265 ,  -79 25 12.69572 , -    1.60 , -    1.70 ,    9.1 ,  5.45  
930,  6 57 11.608241 ,  -55 54 54.33555 , -    1.27 , -    1.18 ,    1.8 ,  8.59  
931,  6 57 37.107227 ,  +45  5 38.73667 , -   21.47 , -    3.51 ,   14.4 ,  4.90  
932,  6 59  2.847050 ,  +38  3  8.34729 , -   41.88 , -  122.07 ,    5.4 ,  6.02  
933,  6 59 22.846179 ,  +20 26 41.58326 , -   17.91 , -    9.42 ,    3.7 ,  8.09  
934,  6 59 29.831205 ,  +33 33 18.53384 , -    4.95 , +    1.14 ,    1.4 ,  8.72  
935,  6 59 44.435166 ,  +52 34 20.74683 , -   11.14 , -   17.99 ,    2.7 ,  6.66  
936,  7  1  5.113379 ,  -58 56 23.77283 , -   56.98 , +  147.88 ,   18.6 ,  6.01  
937,  7  1 56.931393 ,  +63 40 36.93322 , -    3.33 , -   18.17 ,    3.1 ,  6.61  
938,  7  1 57.131037 ,  -17 38 39.58011 , -    2.52 , -   20.49 ,    4.7 ,  7.28  
939,  7  2 17.050067 ,  +51 34  4.97415 , -   29.29 , -   62.11 ,    5.8 ,  7.51  
940,  7  2 54.777514 ,  - 4 14 21.23288 , -    3.32 , +    2.77 ,    1.8 ,  4.99  
941,  7  3 16.508666 ,  +46  7 12.57199 , -   14.97 , -   30.52 ,    1.8 ,  9.00  
942,  7  3 47.512301 ,  - 1  5 58.72611 , -    0.99 , -    4.17 ,    2.4 ,  8.89  
943,  7  3 52.306449 ,  + 5 51 39.26632 , +    0.48 , -    5.72 ,    2.5 ,  8.36  
944,  7  5 33.197100 ,  -14 52 19.39019 , +   14.88 , -    8.66 ,    4.2 ,  7.68  
945,  7  5 56.797745 ,  +39 51 43.94290 , +    3.49 , -   12.34 ,    4.0 ,  8.95  
946,  7  6  1.235251 ,  +59 48  6.66350 , +   21.36 , -    2.56 ,    9.3 ,  6.40  
947,  7  6 47.428186 ,  -67  0 58.42593 , +    2.67 , -   25.36 ,    4.3 ,  7.30  
948,  7  7  5.612244 ,  + 9 52 45.49442 , +   20.99 , -   20.79 ,    7.1 ,  7.89  
949,  7  7 42.673562 ,  -76  2 57.16908 , +    3.78 , -   21.36 ,    2.5 ,  7.67  
950,  7  8  6.309319 ,  +44  2 23.94141 , +    6.63 , -    5.20 ,    5.5 ,  6.84  
951,  7  8 13.272563 ,  +33 49 56.59511 , -    7.73 , -   28.42 ,    3.8 ,  6.31  
952,  7  8 51.068101 ,  -39 39 20.36279 , -   10.90 , +    7.16 ,    4.3 ,  4.83  
953,  7  9 18.951049 ,  +30  8 51.66624 , +    7.01 , -   26.23 ,    5.4 ,  7.28  
954,  7  9 30.522389 ,  -79 25 55.12472 , -    3.69 , +   16.14 ,    2.6 ,  7.81  
955,  7 10  4.340193 ,  +12 32 53.13952 , +    5.15 , -    9.45 ,    3.1 ,  9.16  
956,  7 10 47.483272 ,  -48 55 55.55496 , -   17.42 , +  196.85 ,   10.4 ,  5.12  
957,  7 11 15.383231 ,  +24 39 49.53133 , +    4.95 , -    6.64 ,    1.7 ,  7.97  
958,  7 11 23.066952 ,  +26 51 23.70962 , -   20.00 , -   34.15 ,    8.3 ,  5.75  
959,  7 11 41.605254 ,  -20 52 59.02672 , -    8.98 , +   21.66 ,    6.6 ,  5.84  
960,  7 12 10.088278 ,  -30 16 54.01838 , -    3.95 , +   22.98 ,    2.9 ,  8.49  
961,  7 13  7.194002 ,  -11 15  4.82804 , -    2.37 , +    8.01 ,    4.9 ,  5.77  
962,  7 13 23.400081 ,  +51 25 43.47640 , +    7.12 , +   12.68 ,    4.2 ,  5.46  
963,  7 13 55.114089 ,  +78 45  8.82854 , +    9.86 , +   29.37 ,   10.2 ,  6.93  
964,  7 13 58.035924 ,  +71 48 59.70531 , +   23.56 , +   18.78 ,    8.2 ,  6.36  
965,  7 14  3.311023 ,  + 4 34 40.65057 , +   21.48 , -   18.38 ,    4.5 ,  7.55  
966,  7 14 22.503170 ,  -61  4 11.24184 , -  114.59 , +   16.77 ,   16.5 ,  7.17  
967,  7 14 32.620461 ,  +12  6 56.96309 , -   50.08 , -   17.63 ,    9.8 ,  5.71  
968,  7 15 54.903771 ,  +59 38 14.88256 , -  100.61 , -  258.51 ,   16.8 ,  5.20  
969,  7 15 59.846949 ,  -54 57 41.75632 , +    6.42 , +   30.92 ,    6.0 ,  7.37  
970,  7 16 14.552999 ,  -15 35  8.48668 , -   45.16 , -   14.76 ,   11.7 ,  5.46  
971,  7 16 34.993152 ,  -27 52 52.24444 , -   12.54 , +   38.72 ,    7.2 ,  4.66  
972,  7 16 53.086912 ,  - 9 43 51.91587 , -    3.15 , +    2.00 ,    2.7 ,  7.76  
973,  7 17  9.531732 ,  +33  5 31.39784 , -   59.45 , -  172.95 ,   36.5 ,  6.93  
974,  7 18  4.090783 ,  +30 57 21.13709 , -    5.00 , -   22.79 ,    5.3 ,  6.19  
975,  7 18 28.584338 ,  -41 57 30.85569 , +    4.89 , -    5.67 ,    3.8 ,  8.15  
976,  7 19  8.576327 ,  -38  2 16.78358 , -    7.43 , +   37.87 ,    5.4 ,  7.02  
977,  7 19 13.685268 ,  -33 43 37.79660 , -   15.23 , -    8.12 ,    4.4 ,  6.31  
978,  7 19 22.371307 ,  + 2 44 26.49216 , -    1.35 , -   11.38 ,    6.2 ,  5.90  
979,  7 19 45.638892 ,  -15 15 38.00822 , -    7.47 , +    2.61 ,     .8 ,  8.37  
980,  7 19 47.645111 ,  + 7  8 34.61129 , +   60.43 , -   59.15 ,   16.8 ,  5.91  
981,  7 21  3.098753 ,  +42 39 21.28351 , -   17.71 , -   35.95 ,    4.0 ,  6.33  
982,  7 21  7.545229 ,  - 2 23 48.96429 , -    2.93 , +    1.19 ,    1.6 ,  8.93  
983,  7 21 17.498866 ,  +45 13 41.51194 , -   48.95 , +   11.24 ,   28.9 ,  5.74  
984,  7 21 34.630850 ,  - 5 53 49.87123 , -    2.66 , +    3.11 ,    1.7 ,  6.60  
985,  7 22 13.529115 ,  -19  0 59.76437 , -    1.49 , -    6.91 ,    6.3 ,  4.94  
986,  7 23 21.301738 ,  - 4 25 56.75792 , -    1.99 , +    2.44 ,     .6 ,  8.69  
987,  7 23 41.603306 ,  +54  5 30.02585 , -    4.06 , -   30.29 ,    4.4 ,  8.40  
988,  7 24  9.385485 ,  -58 29 31.01548 , -   87.99 , +  137.46 ,   20.6 ,  6.58  
989,  7 24 37.127558 ,  -71 28 14.36234 , +    7.63 , +   41.24 ,   12.9 ,  6.49  
990,  7 25  9.125654 ,  -70 24 13.77589 , +   11.59 , +   13.22 ,    6.8 ,  7.75  
991,  7 25 25.267933 ,  -25 13  3.95685 , -    8.54 , -    0.53 ,    3.4 ,  5.79  
992,  7 25 38.097927 ,  -79  5 39.08126 , -   29.37 , +    5.51 ,    6.9 ,  5.54  
993,  7 26 21.850607 ,  -51  1  6.53090 , -    5.48 , +    6.24 ,    5.8 ,  5.09  
994,  7 26 42.851442 ,  +49 12 41.49465 , -   10.63 , -   48.81 ,   13.1 ,  4.61  
995,  7 26 58.292079 ,  +23 55 39.67233 , -   13.82 , -    2.79 ,     .5 ,  8.84  
996,  7 26 59.938219 ,  -59 34 43.17385 , +   13.04 , +   24.45 ,    5.8 ,  7.81  
997,  7 27 25.836387 ,  +66 19 53.65281 , -    4.69 , -   29.37 ,    3.6 ,  6.47  
998,  7 27 59.235181 ,  -47  6 27.02254 , -   23.19 , +   58.20 ,    4.3 ,  7.65  
999,  7 28 51.408162 ,  -64 30 35.29816 , +    4.90 , -    8.63 ,    4.7 ,  6.38  
1000,  7 29 18.668259 ,  - 1 54 19.18374 , -   12.16 , -    8.96 ,    2.0 ,  5.60  
1001,  7 29 30.741560 ,  +19 37 59.42138 , +   15.48 , -    3.56 ,    4.8 ,  6.73  
1002,  7 29 52.325776 ,  +56 58 19.23484 , +    0.41 , -   14.71 ,    3.0 ,  8.51  
1003,  7 30 23.392808 ,  +19 48 50.11958 , +   58.20 , -  127.96 ,   24.2 ,  7.07  
1004,  7 30 30.919512 ,  -54 23 57.71475 , +   13.23 , +   27.35 ,    7.5 ,  5.95  
1005,  7 30 51.134178 ,  - 5 13 35.38013 , -    5.82 , -    3.52 ,     .3 ,  6.24  
1006,  7 31  4.465056 ,  +82 24 41.28143 , -    3.44 , -   41.83 ,    6.8 ,  4.92  
1007,  7 31 14.701551 ,  - 7 45 36.20796 , -    0.58 , +    0.73 ,     .6 ,  8.40  
1008,  7 31 48.397313 ,  +17  5  9.76206 , +   43.26 , -   75.77 ,   10.8 ,  5.45  
1009,  7 32  2.217040 ,  +61 45 28.01894 , -   15.93 , -  119.13 ,    6.6 ,  6.68  
1010,  7 32  5.948522 ,  + 1 54 52.13104 , -    2.80 , -    0.59 ,    4.1 ,  5.24  
1011,  7 32 58.551870 ,  +66 56 16.17005 , -   24.59 , -   11.97 ,    1.7 ,  7.70  
1012,  7 33  5.205972 ,  +78 41 12.80687 , -   34.64 , -   97.78 ,   11.0 ,  7.41  
1013,  7 33 27.487308 ,  +11  0 42.16626 , -   14.41 , -   15.87 ,    2.1 ,  6.80  
1014,  7 33 50.530718 ,  -49 45  2.54635 , -    8.81 , +   27.89 ,    4.5 ,  8.48  
1015,  7 33 52.365912 ,  -28 34  3.74457 , -   27.45 , +   16.57 ,    7.4 ,  6.77  
1016,  7 34 13.156692 ,  -16 11 15.96845 , -   79.38 , +  132.19 ,   17.1 ,  6.72  
1017,  7 36  4.198254 ,  -77 38  2.79437 , +    3.42 , +   15.85 ,    2.8 ,  6.72  
1018,  7 36 43.918944 ,  -48 49 48.60443 , -    7.66 , +    0.74 ,    6.5 ,  5.69  
1019,  7 37 17.794749 ,  +40  1 31.37383 , -   14.17 , -   49.59 ,    5.1 ,  6.34  
1020,  7 37 44.796649 ,  -35 16 37.76303 , -   28.72 , +   19.42 ,    4.5 ,  6.59  
1021,  7 38  1.382622 ,  -43 38 29.16383 , -    4.89 , +   12.42 ,    1.5 ,  7.98  
1022,  7 38  4.750611 ,  +61 32   .09202 , +   26.09 , +   22.29 ,   17.0 ,  7.37  
1023,  7 38 20.730917 ,  +33 11 12.33588 , -    1.29 , -   21.50 ,    3.7 ,  6.84  
1024,  7 39  9.930938 ,  +34 35  3.66747 , -   35.93 , -  115.52 ,   20.6 ,  4.89  
1025,  7 39 12.459305 ,  +53 54  2.14612 , -    9.94 , -   80.12 ,    8.9 ,  6.66  
1026,  7 39 35.436640 ,  +84 11 50.57814 , -    5.04 , -    2.05 ,    1.7 ,  7.58  
1027,  7 39 37.849723 ,  -17 52 17.65762 , -    6.77 , -   14.26 ,    6.2 ,  7.60  
1028,  7 39 53.459446 ,  + 8 37  4.38919 , -    3.67 , +    4.86 ,    2.1 ,  8.84  
1029,  7 40 49.535802 ,  +57  4 58.30590 , -   20.52 , -    5.14 ,    4.6 ,  6.09  
1030,  7 40 58.518287 ,  +23  1  6.69696 , -    7.20 , -   12.90 ,    2.1 ,  5.93  
1031,  7 41 12.398283 ,  +48  7 53.52473 , -   53.97 , -  130.37 ,   10.0 ,  5.58  
1032,  7 41 12.699960 ,  +21 26 48.82468 , +   13.40 , -   40.75 ,    5.2 ,  7.87  
1033,  7 41 56.339485 ,  -82 20 30.60906 , +   20.46 , -   31.79 ,    5.7 ,  7.52  
1034,  7 42  3.218567 ,  +14 12 30.61444 , -    0.96 , -   10.57 ,    3.1 ,  5.55  
1035,  7 42 10.218109 ,  -58 37 51.30783 , -    5.00 , +    6.79 ,    3.0 ,  6.40  
1036,  7 42 51.981653 ,  -71 32 30.90899 , -    7.00 , +   23.43 ,    2.7 ,  7.28  
1037,  7 43 41.928859 ,  -40 56  1.48321 , +  130.96 , -  171.04 ,   15.1 ,  5.12  
1038,  7 43 47.217849 ,  +43 47 40.74808 , -   92.03 , -   16.17 ,   11.5 ,  7.18  
1039,  7 44   .773851 ,  -67 12  7.32356 , -    0.78 , +   32.22 ,    2.3 ,  7.62  
1040,  7 44 44.657186 ,  -62 27  7.11629 , -    8.12 , +   31.01 ,    2.2 ,  8.04  
1041,  7 44 56.192061 ,  +39 33 22.91346 , +   28.63 , -  684.82 ,   29.2 ,  6.74  
1042,  7 45 15.295916 ,  -37 58  6.90318 , -   10.81 , +    5.87 ,    2.3 ,  3.62  
1043,  7 45 24.557298 ,  +14 35 58.85537 , -    5.91 , -    5.38 ,    6.0 ,  8.59  
1044,  7 46  9.268270 ,  +16 26 18.39219 , -   11.33 , -   13.99 ,    -.1 ,  7.55  
1045,  7 46 40.078314 ,  +65 27 20.42749 , +   27.91 , +   17.84 ,    9.8 ,  5.93  
1046,  7 46 50.681233 ,  - 4 59 28.41391 , -    8.07 , -    4.27 ,     .5 ,  9.20  
1047,  7 46 57.113355 ,  -25 22 13.65341 , -   23.75 , -   29.40 ,    8.9 ,  8.27  
1048,  7 47 30.414938 ,  -81 35 47.15573 , -   32.15 , +   42.33 ,   11.7 ,  6.79  
1049,  7 48 30.561196 ,  -12 13  6.84532 , -    3.24 , -    0.85 ,    -.3 ,  7.76  
1050,  7 49 35.402392 ,  -33 17 20.22202 , -   37.44 , +    1.51 ,    4.7 ,  5.61  
1051,  7 49 40.993480 ,  -66 11 45.50957 , -    1.73 , -    0.76 ,    7.1 ,  5.78  
1052,  7 49 41.201241 ,  -17 13 42.26951 , +   54.16 , -  117.35 ,   12.8 ,  5.17  
1053,  7 49 59.995850 ,  -35  6 28.03359 , +    2.72 , -   12.56 ,    4.8 ,  8.10  
1054,  7 50 55.239248 ,  -11  7 42.95927 , -    0.13 , -   32.50 ,    7.9 ,  6.16  
1055,  7 51  7.767749 ,  +56 22 31.35329 , +   10.92 , -    4.19 ,    1.4 ,  8.49  
1056,  7 52 49.705749 ,  -39 21 14.72341 , +    0.32 , +   16.48 ,    2.4 ,  9.19  
1057,  7 53  1.804963 ,  - 1  4 51.26541 , -    4.86 , -    2.86 ,    2.7 ,  8.69  
1058,  7 53 43.340829 ,  +72 44 27.68696 , -   14.91 , -   20.16 ,    2.2 ,  8.69  
1059,  7 54 48.494280 ,  +34 37 11.23012 , -  121.42 , -  173.91 ,   28.3 ,  7.78  
1060,  7 55 24.053102 ,  -47 18 47.09642 , +    5.82 , +    1.14 ,    4.1 ,  7.09  
1061,  7 55 39.894967 ,  +19 53  2.28916 , -   14.88 , -   40.07 ,    9.6 ,  5.38  
1062,  7 55 40.827652 ,  +35 24 45.66833 , -   57.56 , -   25.55 ,   16.5 ,  6.23  
1063,  7 56 15.510933 ,  +29 51  7.48199 , -    3.69 , +    5.00 ,    3.3 ,  6.81  
1064,  7 56 21.708624 ,  -20 27 47.79400 , -    9.62 , -   11.34 ,    5.6 ,  6.84  
1065,  7 56 51.539892 ,  -22 52 48.43857 , -   29.01 , +   10.92 ,    6.4 ,  4.20  
1066,  7 56 57.404661 ,  -57 25 50.25468 , +   19.14 , +   12.74 ,    4.6 ,  7.46  
1067,  7 57 39.749988 ,  +77 34 35.12233 , +    2.70 , -   22.62 ,    5.0 ,  6.87  
1068,  7 58 45.990248 ,  +12  7 14.34580 , +    6.04 , -   23.44 ,    2.3 ,  8.44  
1069,  7 59  4.691200 ,  -54 32 48.83603 , -   11.21 , +    6.99 ,    2.2 ,  7.82  
1070,  8  0 19.966966 ,  -63 34  2.83983 , -    1.73 , +   19.42 ,    6.0 ,  4.81  
1071,  8  0 49.937793 ,  -54  9  4.59083 , -   26.12 , +    8.54 ,    4.6 ,  5.87  
1072,  8  1 13.334902 ,  - 1 23 33.39049 , +   66.03 , -   75.82 ,    6.9 ,  4.69  
1073,  8  1 31.766689 ,  - 4 45 56.24833 , -   14.40 , -   14.76 ,    6.6 ,  9.03  
1074,  8  1 32.541810 ,  +41 23 13.62513 , -   32.86 , -   95.02 ,   14.2 ,  7.28  
1075,  8  1 50.728972 ,  + 8 54 50.36278 , -    1.84 , +   23.70 ,   16.7 ,  6.22  
1076,  8  2  4.717576 ,  +19 44 14.20689 , -    9.80 , -   18.60 ,    5.6 ,  7.65  
1077,  8  2 15.936350 ,  + 2 20  4.45776 , -   29.02 , +  105.85 ,   12.4 ,  4.39  
1078,  8  3 12.729346 ,  +46 13  2.94471 , +    5.84 , -   14.54 ,    5.8 ,  8.37  
1079,  8  3 13.313428 ,  +66 11 21.02350 , -    1.40 , -    1.10 ,    2.5 ,  9.37  
1080,  8  3 53.229050 ,  -68 56 12.65064 , -   15.54 , +   10.83 ,    4.7 ,  6.84  
1081,  8  3 57.555680 ,  -16 20 32.36755 , -    1.26 , -   19.01 ,    3.4 ,  8.36  
1082,  8  4 42.399664 ,  -50 35 25.42422 , -    8.55 , +    1.80 ,    2.4 ,  5.96  
1083,  8  5  4.488545 ,  +13  7  5.57738 , -   35.47 , -   63.61 ,   15.4 ,  5.14  
1084,  8  6 51.539561 ,  -27  6 51.36843 , -    4.98 , +    3.39 ,    3.2 ,  7.06  
1085,  8  7  1.746818 ,  +49 53 34.32163 , -   29.60 , -   21.54 ,    8.8 ,  8.70  
1086,  8  7 41.796756 ,  -81 36 33.96853 , -    5.65 , -    1.91 ,    3.4 ,  8.02  
1087,  8  7 45.856407 ,  +21 34 54.53173 , +   24.21 , -   67.89 ,   42.8 ,  5.30  
1088,  8  8  6.083585 ,  +24 42 54.63479 , -    2.24 , -    2.97 ,    1.2 ,  8.97  
1089,  8  8  6.857339 ,  +16 25  1.76337 , -   86.73 , +   45.23 ,    9.4 ,  8.80  
1090,  8  8  8.858982 ,  -78 41 41.62064 , +   20.17 , -   20.30 ,    4.7 ,  7.04  
1091,  8  8 37.642586 ,  -37 40 52.39546 , -    7.60 , +    8.60 ,    1.8 ,  6.36  
1092,  8  8 48.167778 ,  + 2  9 53.00841 , +    2.46 , -    1.30 ,    1.5 ,  9.26  
1093,  8  9  1.418131 ,  +81 42 35.80798 , -    7.85 , -   38.63 ,    2.5 ,  8.27  
1094,  8  9  1.637005 ,  -19 14 42.05324 , -   10.44 , -    5.70 ,    6.9 ,  4.40  
1095,  8  9 12.147506 ,  -64 46 34.37920 , -    2.81 , +    8.88 ,    4.7 ,  7.41  
1096,  8  9 35.913083 ,  -44  7 21.98295 , -   12.25 , +    2.53 ,    2.8 ,  5.20  
1097,  8 10 44.599820 ,  +59 11 35.06341 , +    5.74 , +   12.38 ,    3.9 ,  8.05  
1098,  8 11  9.700210 ,  +53 14 42.31338 , +   19.14 , -   73.06 ,   11.3 ,  6.79  
1099,  8 11 21.649954 ,  +38 43 52.72947 , -  108.25 , -   76.18 ,   21.9 ,  6.61  
1100,  8 11 57.339920 ,  -51 57 45.42932 , -   10.01 , +    3.27 ,    3.8 ,  7.99  
1101,  8 12 15.683943 ,  -60  2 21.55539 , -   10.43 , +    5.20 ,    2.3 ,  8.03  
1102,  8 13 21.775679 ,  - 1  9 57.18469 , -   28.91 , +    5.63 ,    6.2 ,  6.48  
1103,  8 13 27.767173 ,  +48 16 50.94425 , -   29.91 , -   13.27 ,    6.4 ,  6.84  
1104,  8 13 50.175376 ,  +56 27  8.07299 , -   21.94 , -   31.18 ,    6.5 ,  5.88  
1105,  8 15 33.540574 ,  -13 37 27.35975 , -    2.76 , -    2.23 ,    3.6 ,  7.06  
1106,  8 15 59.044328 ,  -30 11  4.42013 , +    0.13 , -    7.29 ,    2.8 ,  7.01  
1107,  8 17 29.099400 ,  -26 18  7.21030 , +    3.71 , -   13.24 ,    3.8 ,  7.32  
1108,  8 17 50.414411 ,  +59 34 16.07958 , -    4.19 , +    1.96 ,   10.7 ,  5.63  
1109,  8 19 43.195636 ,  +50 16 37.94288 , -    2.03 , -    2.55 ,    3.8 ,  8.02  
1110,  8 19 44.479073 ,  -49 32 12.35529 , -   66.29 , +   15.43 ,    4.8 ,  7.13  
1111,  8 19 52.510728 ,  + 4 44 34.50131 , -    6.23 , +    6.07 ,    2.8 ,  9.24  
1112,  8 20  1.432775 ,  +19 27 11.69991 , +    2.05 , +    3.09 ,     .8 ,  8.83  
1113,  8 20 20.972058 ,  +20 44 51.79296 , +   63.30 , -   45.91 ,    6.3 ,  5.80  
1114,  8 21 24.185920 ,  -39 37 14.56969 , +    7.62 , +    6.51 ,   14.8 ,  6.15  
1115,  8 21 35.668021 ,  +69  1 49.14764 , -   41.73 , -   55.25 ,   11.5 ,  8.25  
1116,  8 22 30.164061 ,  - 6 10 44.96663 , -   59.68 , +    0.89 ,   15.3 ,  6.14  
1117,  8 22 44.069667 ,  +60 37 52.44837 , +    9.27 , -    2.25 ,    7.3 ,  6.42  
1118,  8 23  3.032864 ,  +27  5 37.91381 , -    2.37 , -   12.83 ,     .4 ,  8.16  
1119,  8 23 48.501544 ,  +53 13 10.95972 , -   28.32 , -   98.89 ,   19.4 ,  5.52  
1120,  8 23 52.039413 ,  +32 17 36.57351 , -    9.76 , -    8.72 ,    4.9 ,  7.72  
1121,  8 23 56.187035 ,  - 1 29 52.83320 , -   15.52 , -   18.23 ,    5.4 ,  6.91  
1122,  8 24 33.023983 ,  +82 25 50.73605 , -   18.67 , -   25.62 ,    4.8 ,  6.28  
1123,  8 25   .358256 ,  -74 54 43.91056 , +   22.92 , +   41.89 ,   14.9 ,  7.17  
1124,  8 25  4.886789 ,  +35  0 41.06955 , -   12.01 , -   11.34 ,    4.5 ,  6.08  
1125,  8 25 18.295110 ,  -22  8 24.94377 , -   17.85 , +   29.32 ,    7.3 ,  6.93  
1126,  8 25 35.537946 ,  + 2  6  7.96253 , -   21.15 , -   15.49 ,    5.4 ,  5.74  
1127,  8 25 55.590174 ,  -14 55 46.78015 , -   10.65 , +   38.78 ,    9.7 ,  5.96  
1128,  8 26 17.845069 ,  -18  4 15.30034 , -    3.21 , +    1.13 ,    2.9 ,  8.08  
1129,  8 26 25.205165 ,  -52 48 26.99899 , -   38.00 , +    1.00 ,   14.0 ,  6.05  
1130,  8 26 27.705734 ,  +27 53 36.89917 , -   33.66 , -  114.91 ,    8.1 ,  5.58  
1131,  8 26 43.938829 ,  +12 39 16.60249 , -   18.52 , -  103.16 ,    3.1 ,  5.56  
1132,  8 26 47.082747 ,  +39 53 31.97389 , +   10.14 , -   15.61 ,    2.3 ,  7.08  
1133,  8 27 31.468777 ,  +11 15 13.52050 , -    5.76 , -    3.58 ,     .5 ,  9.12  
1134,  8 27 35.126312 ,  - 5  8 55.08696 , -  124.84 , -   80.14 ,   23.8 ,  7.17  
1135,  8 27 36.783808 ,  +45 39 10.75054 , -   20.97 , -  351.72 ,   45.8 ,  6.32  
1136,  8 28 14.482802 ,  -42 13 49.35634 , -    0.39 , +   31.84 ,    2.4 ,  7.56  
1137,  8 29 12.741409 ,  +32 41 32.30237 , -    4.55 , -    2.90 ,    3.7 ,  6.92  
1138,  8 29 46.195180 ,  +67 17 50.78410 , -   65.36 , +   10.39 ,   10.1 ,  5.89  
1139,  8 30 34.840608 ,  + 2  6   .95068 , -    7.02 , -    1.14 ,    4.3 ,  9.07  
1140,  8 30 46.520161 ,  -11 47 58.93469 , -   24.83 , +    7.93 ,    2.1 ,  7.54  
1141,  8 30 51.952875 ,  +78 13 42.34590 , -    5.19 , -   26.46 ,    4.1 ,  7.08  
1142,  8 31 12.405407 ,  + 7  0 23.07201 , -   12.76 , +   12.66 ,    1.5 ,  8.19  
1143,  8 31 26.612479 ,  +71  1 28.16967 , -   13.68 , -   30.40 ,    5.6 ,  8.22  
